object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1
0,0,1,0,Plaques,1.0,0.0,648.5,146.5,4.0,648.0,146.0,650.0,148.0
1,0,2,0,Plaques,1.0,0.0,625.5,148.0,8.0,624.0,147.0,628.0,150.0
2,0,3,0,Plaques,1.0,0.0,618.5,149.0,4.0,618.0,148.0,620.0,151.0
3,0,4,0,Plaques,1.0,0.0,615.7368,152.52632,19.0,613.0,150.0,620.0,155.0
4,0,5,0,Plaques,1.0,0.0,595.2,156.1,10.0,593.0,155.0,598.0,158.0
5,0,6,0,Plaques,1.0,0.0,577.2,162.6,5.0,576.0,162.0,579.0,164.0
6,0,7,0,Plaques,1.0,0.0,569.1667,165.16667,6.0,568.0,164.0,571.0,167.0
7,0,8,0,Plaques,1.0,0.0,561.75,167.125,8.0,560.0,166.0,564.0,169.0
8,0,9,0,Plaques,1.0,0.0,552.5,169.5,4.0,552.0,169.0,554.0,171.0
9,0,10,0,Plaques,1.0,0.0,589.5,211.5,4.0,589.0,211.0,591.0,213.0
10,0,11,0,Plaques,1.0,0.0,413.2,228.6,5.0,412.0,228.0,415.0,230.0
11,0,12,0,Plaques,1.0,0.0,756.8,251.6,5.0,756.0,251.0,759.0,253.0
12,0,13,0,Plaques,1.0,0.0,533.6667,255.66667,3.0,533.0,255.0,535.0,257.0
13,0,14,0,Plaques,1.0,0.0,438.16666,264.83334,6.0,437.0,264.0,440.0,267.0
14,0,15,0,Plaques,1.0,0.0,400.7143,290.5,14.0,399.0,289.0,403.0,293.0
15,0,16,0,Plaques,1.0,0.0,743.5,318.5,4.0,743.0,318.0,745.0,320.0
16,0,17,0,Plaques,1.0,0.0,115.71429,462.57144,7.0,114.0,462.0,118.0,464.0
17,0,18,0,Plaques,1.0,0.0,118.333336,487.66666,3.0,118.0,487.0,120.0,489.0
18,0,19,0,Plaques,1.0,0.0,707.8889,513.6667,9.0,707.0,512.0,710.0,516.0
19,0,20,0,Plaques,1.0,0.0,609.6667,517.3333,3.0,609.0,517.0,611.0,519.0
20,0,21,0,Plaques,1.0,0.0,497.875,523.875,8.0,497.0,523.0,500.0,526.0
21,0,22,0,Plaques,1.0,0.0,759.0,539.7143,7.0,758.0,539.0,761.0,542.0
22,0,23,0,Plaques,1.0,0.0,671.92206,579.25977,77.0,665.0,572.0,679.0,588.0
23,0,24,0,Plaques,1.0,0.0,534.8571,577.2857,7.0,534.0,576.0,537.0,579.0
24,0,25,0,Plaques,1.0,0.0,686.30615,588.32654,49.0,681.0,584.0,693.0,594.0
25,0,26,0,Plaques,1.0,0.0,693.0,596.0,9.0,692.0,595.0,695.0,598.0
26,0,27,0,Plaques,1.0,0.0,703.64,606.92,50.0,698.0,602.0,708.0,614.0
27,0,28,0,Plaques,1.0,0.0,695.0,610.0,9.0,694.0,609.0,697.0,612.0
28,0,29,0,Plaques,1.0,0.0,684.1667,616.1667,6.0,683.0,615.0,686.0,618.0
29,0,30,0,Plaques,1.0,0.0,713.85,618.25,20.0,712.0,616.0,717.0,621.0
30,0,31,0,Plaques,1.0,0.0,723.56525,628.56525,46.0,720.0,623.0,729.0,634.0
31,0,32,0,Plaques,1.0,0.0,728.5,636.5,4.0,728.0,636.0,730.0,638.0
32,0,33,0,Plaques,1.0,0.0,732.4211,641.2105,19.0,730.0,639.0,736.0,644.0
33,0,34,0,Plaques,1.0,0.0,721.36664,646.8333,30.0,719.0,644.0,725.0,651.0
34,0,35,0,Plaques,1.0,0.0,737.5135,649.4595,37.0,734.0,645.0,742.0,654.0
35,0,36,0,Plaques,1.0,0.0,732.0,647.5,8.0,731.0,646.0,734.0,650.0
36,0,37,0,Plaques,1.0,0.0,745.875,647.875,8.0,745.0,647.0,748.0,650.0
37,0,38,0,Plaques,1.0,0.0,743.6667,653.3333,3.0,743.0,653.0,745.0,655.0
38,0,39,0,Plaques,1.0,0.0,738.2632,656.8421,19.0,736.0,655.0,742.0,660.0
39,0,40,0,Plaques,1.0,0.0,750.0732,669.6585,164.0,739.0,655.0,761.0,687.0
40,0,41,0,Plaques,1.0,0.0,720.3333,673.3333,3.0,720.0,673.0,722.0,675.0
41,0,42,0,Plaques,1.0,0.0,746.75,675.05,20.0,745.0,673.0,750.0,678.0
42,0,43,0,Plaques,1.0,0.0,761.5,678.5,4.0,761.0,678.0,763.0,680.0
43,0,44,0,Plaques,1.0,0.0,735.7143,680.0,7.0,735.0,679.0,738.0,682.0
44,0,45,0,Plaques,1.0,0.0,744.5,680.5,12.0,743.0,679.0,747.0,683.0
45,0,46,0,Plaques,1.0,0.0,750.0,684.1667,12.0,749.0,682.0,752.0,687.0
46,0,47,0,Plaques,1.0,0.0,769.25,683.0,4.0,769.0,682.0,771.0,685.0
47,0,48,0,Plaques,1.0,0.0,768.6429,690.2857,28.0,765.0,688.0,773.0,694.0
48,0,49,0,Plaques,1.0,0.0,751.38464,690.38464,13.0,750.0,689.0,754.0,693.0
49,0,50,0,Plaques,1.0,0.0,759.08,694.08,25.0,758.0,690.0,761.0,701.0
