object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Size in pixels
0,0,1,0,Plaques,1.0,0.0,548.5,195.0,548.0,194.0,550.0,197.0,6.0
1,0,2,0,Plaques,1.0,0.0,960.4272,393.0194,950.0,376.0,971.0,415.0,103.0
2,0,3,0,Plaques,1.0,0.0,980.5,389.5,980.0,389.0,982.0,391.0,4.0
3,0,4,0,Plaques,1.0,0.0,976.2,399.5,975.0,398.0,979.0,402.0,10.0
4,0,5,0,Plaques,1.0,0.0,961.2353,416.88235,954.0,414.0,969.0,421.0,34.0
5,0,6,0,Plaques,1.0,0.0,946.35297,420.64706,944.0,416.0,950.0,426.0,17.0
6,0,7,0,Plaques,1.0,0.0,951.5,420.5,951.0,420.0,953.0,422.0,4.0
7,0,8,0,Plaques,1.0,0.0,940.5,430.5,940.0,430.0,942.0,432.0,4.0
8,0,9,0,Plaques,1.0,0.0,1318.6666,493.66666,1318.0,493.0,1320.0,495.0,3.0
9,0,10,0,Plaques,1.0,0.0,220.83333,525.1667,220.0,524.0,223.0,527.0,6.0
10,0,11,0,Plaques,1.0,0.0,163.30281,1458.3873,156.0,1435.0,172.0,1485.0,142.0
11,0,12,0,Plaques,1.0,0.0,150.92308,1448.7693,149.0,1447.0,154.0,1451.0,13.0
12,0,13,0,Plaques,1.0,0.0,155.67741,1467.6882,150.0,1457.0,164.0,1481.0,93.0
13,0,14,0,Plaques,1.0,0.0,231.92427,1722.3292,153.0,1473.0,283.0,1897.0,3037.0
14,0,15,0,Plaques,1.0,0.0,189.02492,1639.111,156.0,1505.0,220.0,1803.0,2569.0
15,0,16,0,Plaques,1.0,0.0,168.94022,1629.3784,147.0,1534.0,189.0,1729.0,1522.0
16,0,17,0,Plaques,1.0,0.0,198.5,1548.0,198.0,1547.0,200.0,1550.0,4.0
17,0,18,0,Plaques,1.0,0.0,200.33333,1552.1666,200.0,1550.0,202.0,1555.0,6.0
18,0,19,0,Plaques,1.0,0.0,202.5,1559.5,202.0,1559.0,204.0,1561.0,4.0
19,0,20,0,Plaques,1.0,0.0,223.39777,1636.4622,205.0,1569.0,243.0,1710.0,357.0
20,0,21,0,Plaques,1.0,0.0,193.76923,1576.9231,193.0,1574.0,196.0,1581.0,13.0
21,0,22,0,Plaques,1.0,0.0,206.83333,1598.8334,206.0,1598.0,209.0,1601.0,6.0
22,0,23,0,Plaques,1.0,0.0,295.0,1631.2,294.0,1630.0,297.0,1634.0,10.0
23,0,24,0,Plaques,1.0,0.0,220.2,1650.6,219.0,1650.0,222.0,1652.0,5.0
24,0,25,0,Plaques,1.0,0.0,180.66667,1659.3334,180.0,1659.0,182.0,1661.0,3.0
25,0,26,0,Plaques,1.0,0.0,229.33333,1695.3334,229.0,1695.0,231.0,1697.0,3.0
26,0,27,0,Plaques,1.0,0.0,243.0625,1716.625,242.0,1713.0,245.0,1722.0,16.0
27,0,28,0,Plaques,1.0,0.0,245.45454,1725.1818,245.0,1722.0,247.0,1729.0,11.0
28,0,29,0,Plaques,1.0,0.0,182.2381,1732.3334,180.0,1730.0,186.0,1735.0,21.0
29,0,30,0,Plaques,1.0,0.0,247.5,1736.0,247.0,1734.0,249.0,1739.0,8.0
30,0,31,0,Plaques,1.0,0.0,249.07143,1744.5714,248.0,1742.0,251.0,1749.0,14.0
31,0,32,0,Plaques,1.0,0.0,279.0,1901.0,278.0,1899.0,281.0,1904.0,13.0
32,0,33,0,Plaques,1.0,0.0,296.4375,1912.1666,292.0,1909.0,302.0,1916.0,48.0
33,0,34,0,Plaques,1.0,0.0,1271.3334,2049.5303,1262.0,2043.0,1277.0,2063.0,66.0
34,0,35,0,Plaques,1.0,0.0,1396.75,2045.625,1396.0,2044.0,1399.0,2048.0,8.0
35,0,36,0,Plaques,1.0,0.0,1413.5,2046.0,1413.0,2045.0,1415.0,2048.0,6.0
36,0,37,0,Plaques,1.0,0.0,1381.75,2062.6667,1380.0,2061.0,1384.0,2065.0,12.0
37,0,38,0,Plaques,1.0,0.0,1365.7142,2063.0,1365.0,2062.0,1368.0,2065.0,7.0
38,0,39,0,Plaques,1.0,0.0,1373.5,2066.875,1371.0,2066.0,1377.0,2069.0,16.0
39,0,40,0,Plaques,1.0,0.0,705.5,2105.5,705.0,2105.0,707.0,2107.0,4.0
40,0,41,0,Plaques,1.0,0.0,709.0,2105.5,708.0,2105.0,711.0,2107.0,6.0
41,0,42,0,Plaques,1.0,0.0,715.0,2105.5,714.0,2105.0,717.0,2107.0,6.0
42,0,43,0,Plaques,1.0,0.0,730.5,2105.5,730.0,2105.0,732.0,2107.0,4.0
