object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Size in pixels
0,0,1,0,Plaques,1.0,0.0,402.33334,300.33334,402.0,300.0,404.0,302.0,3.0
1,0,2,0,Plaques,1.0,0.0,1090.8,339.4,1090.0,339.0,1093.0,341.0,5.0
2,0,3,0,Plaques,1.0,0.0,352.0,355.5,351.0,355.0,354.0,357.0,6.0
3,0,4,0,Plaques,1.0,0.0,867.0,368.0,866.0,367.0,869.0,370.0,5.0
4,0,5,0,Plaques,1.0,0.0,1139.25,399.0,1139.0,398.0,1141.0,401.0,4.0
5,0,6,0,Plaques,1.0,0.0,1189.6666,467.33334,1189.0,467.0,1191.0,469.0,3.0
6,0,7,0,Plaques,1.0,0.0,1267.5,507.5,1267.0,507.0,1269.0,509.0,4.0
7,0,8,0,Plaques,1.0,0.0,1241.5,528.5,1241.0,528.0,1243.0,530.0,4.0
8,0,9,0,Plaques,1.0,0.0,1142.6666,556.3333,1142.0,556.0,1144.0,558.0,3.0
9,0,10,0,Plaques,1.0,0.0,1222.3334,691.3333,1222.0,691.0,1224.0,693.0,3.0
10,0,11,0,Plaques,1.0,0.0,210.875,711.25,210.0,710.0,213.0,714.0,8.0
11,0,12,0,Plaques,1.0,0.0,219.0,715.8333,218.0,715.0,221.0,718.0,6.0
12,0,13,0,Plaques,1.0,0.0,235.14815,716.2778,225.0,715.0,246.0,720.0,54.0
13,0,14,0,Plaques,1.0,0.0,208.20589,720.41174,203.0,717.0,216.0,725.0,34.0
14,0,15,0,Plaques,1.0,0.0,1402.3334,732.3333,1402.0,732.0,1404.0,734.0,3.0
15,0,16,0,Plaques,1.0,0.0,196.5,738.5,196.0,738.0,198.0,740.0,4.0
16,0,17,0,Plaques,1.0,0.0,246.5,757.0,246.0,756.0,248.0,759.0,4.0
17,0,18,0,Plaques,1.0,0.0,489.33334,880.3333,489.0,880.0,491.0,882.0,3.0
18,0,19,0,Plaques,1.0,0.0,509.16666,915.1667,508.0,914.0,511.0,917.0,6.0
19,0,20,0,Plaques,1.0,0.0,512.1,920.3,511.0,918.0,514.0,923.0,10.0
20,0,21,0,Plaques,1.0,0.0,547.3333,937.6667,547.0,937.0,549.0,939.0,3.0
21,0,22,0,Plaques,1.0,0.0,1459.6666,954.3333,1459.0,954.0,1461.0,956.0,3.0
22,0,23,0,Plaques,1.0,0.0,1472.8,970.4,1472.0,970.0,1475.0,972.0,5.0
23,0,24,0,Plaques,1.0,0.0,587.6667,981.3333,587.0,981.0,589.0,983.0,3.0
24,0,25,0,Plaques,1.0,0.0,593.82355,986.35297,591.0,984.0,597.0,990.0,17.0
25,0,26,0,Plaques,1.0,0.0,599.625,996.875,597.0,993.0,603.0,1001.0,16.0
26,0,27,0,Plaques,1.0,0.0,1509.5,997.5,1509.0,997.0,1511.0,999.0,4.0
27,0,28,0,Plaques,1.0,0.0,1224.0,1082.0,1224.0,1081.0,1225.0,1084.0,3.0
28,0,29,0,Plaques,1.0,0.0,1228.875,1256.125,1228.0,1255.0,1231.0,1258.0,8.0
29,0,30,0,Plaques,1.0,0.0,1221.0,1432.0,1220.0,1431.0,1223.0,1434.0,5.0
30,0,31,0,Plaques,1.0,0.0,728.3333,1432.3334,728.0,1432.0,730.0,1434.0,3.0
