Object_Label,Origin,Section,tissue_area_px
WT_control_midbrain_4x_26.tif,control,midbrain,46547700
WT_control_midbrain_4x_27.tif,control,midbrain,75823300
WT_control_midbrain_4x_28.tif,control,midbrain,502425
WT_control_midbrain_4x_29.tif,control,midbrain,65091100
WT_control_midbrain_4x_30.tif,control,midbrain,88290675
WT_control_septum_4x_01.tif,control,septum,16904225
WT_control_septum_4x_02.tif,control,septum,46320975
WT_control_septum_4x_03.tif,control,septum,61732000
WT_control_septum_4x_04.tif,control,septum,63826025
WT_control_septum_4x_05.tif,control,septum,60732400
WT_control_septum_4x_06.tif,control,septum,45832350
WT_control_septum_4x_07.tif,control,septum,80902825
WT_control_septum_4x_08.tif,control,septum,81782100
WT_control_septum_4x_09.tif,control,septum,79964600
WT_control_septum_4x_10.tif,control,septum,50251950
WT_control_septum_4x_11.tif,control,septum,41379650
WT_control_septum_4x_12.tif,control,septum,64531150
WT_control_septum_4x_13.tif,control,septum,23152850
WT_control_septum_4x_14.tif,control,septum,24953600
WT_control_septum_4x_15.tif,control,septum,16827075
WT_control_septum_4x_16.tif,control,septum,15300450
WT_control_septum_4x_17.tif,control,septum,17659500
WT_control_septum_4x_18.tif,control,septum,66288425
WT_control_septum_4x_19.tif,control,septum,19194325
WT_control_septum_4x_20.tif,control,septum,74216000
WT_control_septum_4x_21.tif,control,septum,26571600
WT_control_septum_4x_22.tif,control,septum,14977250
WT_control_septum_4x_23.tif,control,septum,58168000
WT_control_septum_4x_24.tif,control,septum,82355125
WT_control_septum_4x_25.tif,control,septum,39656850
WT_control_septum_4x_26.tif,control,septum,38553300
WT_control_septum_4x_27.tif,control,septum,40107950
WT_control_septum_4x_28.tif,control,septum,37299850
WT_control_septum_4x_29.tif,control,septum,41208425
WT_control_septum_4x_30.tif,control,septum,38911650
WT_control_septum_4x_31.tif,control,septum,50212200
WT_control_septum_4x_32.tif,control,septum,357050
WT_control_septum_4x_33.tif,control,septum,40550400
WT_control_septum_4x_34.tif,control,septum,55564700
GtElk_treatment_cerebellum_4x_01.tif,Elk,cerebellum,35785250
GtElk_treatment_cerebellum_4x_02.tif,Elk,cerebellum,36764150
GtElk_treatment_cerebellum_4x_03.tif,Elk,cerebellum,107429050
GtElk_treatment_cerebellum_4x_04.tif,Elk,cerebellum,27786150
GtElk_treatment_cerebellum_4x_05.tif,Elk,cerebellum,31492125
GtElk_treatment_cerebellum_4x_06.tif,Elk,cerebellum,35571650
GtElk_treatment_cerebellum_4x_07.tif,Elk,cerebellum,66489975
GtElk_treatment_cerebellum_4x_08.tif,Elk,cerebellum,63442975
GtElk_treatment_cerebellum_4x_09.tif,Elk,cerebellum,45899700
GtElk_treatment_cerebellum_4x_10.tif,Elk,cerebellum,83361525
GtElk_treatment_cerebellum_4x_11.tif,Elk,cerebellum,60594200
GtElk_treatment_cerebellum_4x_12.tif,Elk,cerebellum,74560175
GtElk_treatment_cerebellum_4x_13.tif,Elk,cerebellum,51194000
GtElk_treatment_cerebellum_4x_14.tif,Elk,cerebellum,25397650
GtElk_treatment_cerebellum_4x_15.tif,Elk,cerebellum,25513175
GtElk_treatment_cerebellum_4x_16.tif,Elk,cerebellum,27659250
GtElk_treatment_cerebellum_4x_17.tif,Elk,cerebellum,23539950
GtElk_treatment_cerebellum_4x_18.tif,Elk,cerebellum,39241825
GtElk_treatment_cerebellum_4x_19.tif,Elk,cerebellum,42258625
GtElk_treatment_cerebellum_4x_20.tif,Elk,cerebellum,48852000
GtElk_treatment_cerebellum_4x_21.tif,Elk,cerebellum,113655500
GtElk_treatment_cerebellum_4x_22.tif,Elk,cerebellum,129908025
GtElk_treatment_cerebellum_4x_23.tif,Elk,cerebellum,35887775
GtElk_treatment_cerebellum_4x_24.tif,Elk,cerebellum,23357075
GtElk_treatment_cerebellum_4x_25.tif,Elk,cerebellum,43963550
GtElk_treatment_cerebellum_4x_26.tif,Elk,cerebellum,46138400
GtElk_treatment_cerebellum_4x_27.tif,Elk,cerebellum,42568350
GtElk_treatment_cerebellum_4x_28.tif,Elk,cerebellum,24799225
GtElk_treatment_cerebellum_4x_29.tif,Elk,cerebellum,45224825
GtElk_treatment_cerebellum_4x_30.tif,Elk,cerebellum,44352925
GtElk_treatment_cerebellum_4x_31.tif,Elk,cerebellum,24943525
GtElk_treatment_cerebellum_4x_32.tif,Elk,cerebellum,61811750
GtElk_treatment_cerebellum_4x_33.tif,Elk,cerebellum,60414375
GtElk_treatment_cerebellum_4x_34.tif,Elk,cerebellum,31053950
GtElk_treatment_cerebellum_4x_35.tif,Elk,cerebellum,25469875
GtElk_treatment_cerebellum_4x_36.tif,Elk,cerebellum,30873725
GtElk_treatment_cerebellum_4x_37.tif,Elk,cerebellum,24861475
GtElk_treatment_cerebellum_4x_38.tif,Elk,cerebellum,38177350
GtElk_treatment_cerebellum_4x_39.tif,Elk,cerebellum,33192050
GtElk_treatment_cerebellum_4x_40.tif,Elk,cerebellum,22740750
GtElk_treatment_cerebellum_4x_41.tif,Elk,cerebellum,20652550
GtElk_treatment_cerebellum_4x_42.tif,Elk,cerebellum,20482300
GtElk_treatment_cerebellum_4x_43.tif,Elk,cerebellum,29906650
GtElk_treatment_cerebellum_4x_44.tif,Elk,cerebellum,22823775
GtElk_treatment_cerebellum_4x_45.tif,Elk,cerebellum,10243300
GtElk_treatment_cerebellum_4x_46.tif,Elk,cerebellum,130093800
GtElk_treatment_cerebellum_4x_47.tif,Elk,cerebellum,42973575
GtElk_treatment_cerebellum_4x_48.tif,Elk,cerebellum,102593025
GtElk_treatment_cerebellum_4x_49.tif,Elk,cerebellum,41045500
GtElk_treatment_cerebellum_4x_50.tif,Elk,cerebellum,47670175
GtElk_treatment_cerebellum_4x_51.tif,Elk,cerebellum,58094450
GtElk_treatment_cerebellum_4x_52.tif,Elk,cerebellum,53445300
GtElk_treatment_cerebellum_4x_53.tif,Elk,cerebellum,52697025
GtElk_treatment_cerebellum_4x_54.tif,Elk,cerebellum,40248950
GtElk_treatment_hippocampus_4x_01.tif,Elk,hippocampus,52176275
GtElk_treatment_hippocampus_4x_02.tif,Elk,hippocampus,64118800
GtElk_treatment_hippocampus_4x_03.tif,Elk,hippocampus,68176175
GtElk_treatment_hippocampus_4x_04.tif,Elk,hippocampus,86729625
GtElk_treatment_hippocampus_4x_05.tif,Elk,hippocampus,49018075
GtElk_treatment_hippocampus_4x_06.tif,Elk,hippocampus,65688700
GtElk_treatment_hippocampus_4x_07.tif,Elk,hippocampus,61943950
GtElk_treatment_hippocampus_4x_08.tif,Elk,hippocampus,74455400
GtElk_treatment_hippocampus_4x_09.tif,Elk,hippocampus,67314375
GtElk_treatment_hippocampus_4x_10.tif,Elk,hippocampus,68747675
GtElk_treatment_hippocampus_4x_11.tif,Elk,hippocampus,89540075
GtElk_treatment_hippocampus_4x_12.tif,Elk,hippocampus,42645625
GtElk_treatment_hippocampus_4x_13.tif,Elk,hippocampus,45412475
GtElk_treatment_hippocampus_4x_14.tif,Elk,hippocampus,24242400
GtElk_treatment_hippocampus_4x_15.tif,Elk,hippocampus,32986800
GtElk_treatment_hippocampus_4x_16.tif,Elk,hippocampus,40665825
GtElk_treatment_hippocampus_4x_17.tif,Elk,hippocampus,42281250
GtElk_treatment_hippocampus_4x_18.tif,Elk,hippocampus,38951550
GtElk_treatment_hippocampus_4x_19.tif,Elk,hippocampus,62701425
GtElk_treatment_hippocampus_4x_20.tif,Elk,hippocampus,82953950
GtElk_treatment_hippocampus_4x_21.tif,Elk,hippocampus,104396850
GtElk_treatment_hippocampus_4x_22.tif,Elk,hippocampus,98522600
GtElk_treatment_hippocampus_4x_23.tif,Elk,hippocampus,56118650
GtElk_treatment_hippocampus_4x_24.tif,Elk,hippocampus,52534050
GtElk_treatment_hippocampus_4x_25.tif,Elk,hippocampus,35251125
GtElk_treatment_hippocampus_4x_26.tif,Elk,hippocampus,30456025
GtElk_treatment_hippocampus_4x_27.tif,Elk,hippocampus,45110850
GtElk_treatment_hippocampus_4x_28.tif,Elk,hippocampus,17662500
GtElk_treatment_hippocampus_4x_29.tif,Elk,hippocampus,29194525
GtElk_treatment_hippocampus_4x_30.tif,Elk,hippocampus,85463425
GtElk_treatment_hippocampus_4x_31.tif,Elk,hippocampus,45404900
GtElk_treatment_hippocampus_4x_32.tif,Elk,hippocampus,26115650
GtElk_treatment_hippocampus_4x_33.tif,Elk,hippocampus,55966150
GtElk_treatment_hippocampus_4x_34.tif,Elk,hippocampus,63642950
GtElk_treatment_hippocampus_4x_35.tif,Elk,hippocampus,60095000
GtElk_treatment_midbrain_4x_01.tif,Elk,midbrain,59697525
GtElk_treatment_midbrain_4x_02.tif,Elk,midbrain,60110925
GtElk_treatment_midbrain_4x_03.tif,Elk,midbrain,70356575
GtElk_treatment_midbrain_4x_04.tif,Elk,midbrain,60770075
GtElk_treatment_midbrain_4x_05.tif,Elk,midbrain,35527775
GtElk_treatment_midbrain_4x_06.tif,Elk,midbrain,73340425
GtElk_treatment_midbrain_4x_07.tif,Elk,midbrain,25467750
GtElk_treatment_midbrain_4x_08.tif,Elk,midbrain,67330550
GtElk_treatment_midbrain_4x_09.tif,Elk,midbrain,67011175
GtElk_treatment_midbrain_4x_10.tif,Elk,midbrain,73303875
GtElk_treatment_midbrain_4x_11.tif,Elk,midbrain,64573350
