object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Size in pixels
0,0,1,0,Plaques,1.0,0.0,975.0,84.0,974.0,83.0,977.0,86.0,7.0
1,0,2,0,Plaques,1.0,0.0,970.2143,89.0,968.0,87.0,973.0,93.0,14.0
2,0,3,0,Plaques,1.0,0.0,963.0,96.5,962.0,96.0,965.0,98.0,4.0
3,0,4,0,Plaques,1.0,0.0,958.8571,101.42857,958.0,100.0,961.0,104.0,7.0
4,0,5,0,Plaques,1.0,0.0,954.8,105.8,954.0,105.0,957.0,108.0,5.0
5,0,6,0,Plaques,1.0,0.0,949.6667,111.44444,948.0,110.0,952.0,114.0,9.0
6,0,7,0,Plaques,1.0,0.0,932.3333,131.33333,932.0,131.0,934.0,133.0,3.0
7,0,8,0,Plaques,1.0,0.0,818.8333,189.83333,818.0,189.0,821.0,192.0,6.0
8,0,9,0,Plaques,1.0,0.0,879.6,196.8,879.0,196.0,881.0,199.0,5.0
9,0,10,0,Plaques,1.0,0.0,874.7143,204.85715,874.0,204.0,877.0,207.0,7.0
10,0,11,0,Plaques,1.0,0.0,856.75,227.0,856.0,226.0,858.0,229.0,4.0
11,0,12,0,Plaques,1.0,0.0,853.5,231.5,853.0,231.0,855.0,233.0,4.0
12,0,13,0,Plaques,1.0,0.0,254.0,235.0,253.0,234.0,256.0,237.0,5.0
13,0,14,0,Plaques,1.0,0.0,829.0,261.0,828.0,260.0,831.0,263.0,7.0
14,0,15,0,Plaques,1.0,0.0,813.1667,276.83334,812.0,276.0,815.0,279.0,6.0
15,0,16,0,Plaques,1.0,0.0,808.75,281.125,807.0,280.0,811.0,283.0,8.0
16,0,17,0,Plaques,1.0,0.0,803.25,285.08334,802.0,284.0,806.0,288.0,12.0
17,0,18,0,Plaques,1.0,0.0,797.5,290.5,797.0,290.0,799.0,292.0,4.0
18,0,19,0,Plaques,1.0,0.0,792.5,292.5,792.0,292.0,794.0,294.0,4.0
19,0,20,0,Plaques,1.0,0.0,786.0,295.95834,782.0,294.0,791.0,299.0,24.0
20,0,21,0,Plaques,1.0,0.0,776.6667,298.8889,775.0,298.0,779.0,301.0,9.0
21,0,22,0,Plaques,1.0,0.0,769.7273,300.9091,768.0,300.0,773.0,303.0,11.0
22,0,23,0,Plaques,1.0,0.0,516.1429,301.92856,514.0,301.0,519.0,304.0,14.0
23,0,24,0,Plaques,1.0,0.0,761.5,302.5,760.0,302.0,764.0,304.0,6.0
24,0,25,0,Plaques,1.0,0.0,526.8333,303.91666,525.0,303.0,530.0,306.0,12.0
25,0,26,0,Plaques,1.0,0.0,754.1539,304.53845,752.0,303.0,757.0,307.0,13.0
26,0,27,0,Plaques,1.0,0.0,536.0,306.0,534.0,305.0,539.0,308.0,13.0
27,0,28,0,Plaques,1.0,0.0,738.5,306.66666,737.0,306.0,741.0,308.0,6.0
28,0,29,0,Plaques,1.0,0.0,745.625,306.75,744.0,306.0,748.0,309.0,8.0
29,0,30,0,Plaques,1.0,0.0,546.25,307.85,541.0,307.0,551.0,310.0,20.0
30,0,31,0,Plaques,1.0,0.0,559.13336,309.86667,556.0,309.0,564.0,312.0,15.0
31,0,32,0,Plaques,1.0,0.0,726.1429,309.57144,724.0,309.0,729.0,311.0,7.0
32,0,33,0,Plaques,1.0,0.0,569.6923,311.6154,566.0,311.0,573.0,314.0,13.0
33,0,34,0,Plaques,1.0,0.0,576.2222,312.0,574.0,311.0,579.0,314.0,9.0
34,0,35,0,Plaques,1.0,0.0,703.14514,313.01614,690.0,311.0,717.0,316.0,62.0
35,0,36,0,Plaques,1.0,0.0,585.1667,313.08334,583.0,312.0,588.0,315.0,12.0
36,0,37,0,Plaques,1.0,0.0,602.5,313.66666,601.0,313.0,605.0,315.0,6.0
37,0,38,0,Plaques,1.0,0.0,614.5,314.0,613.0,313.0,617.0,316.0,10.0
38,0,39,0,Plaques,1.0,0.0,620.5,313.5,620.0,313.0,622.0,315.0,4.0
39,0,40,0,Plaques,1.0,0.0,595.5,314.0,593.0,314.0,599.0,315.0,6.0
40,0,41,0,Plaques,1.0,0.0,676.0,314.75,675.0,314.0,678.0,316.0,4.0
41,0,42,0,Plaques,1.0,0.0,652.8461,315.92307,651.0,315.0,657.0,318.0,13.0
42,0,43,0,Plaques,1.0,0.0,1362.3334,412.66666,1362.0,412.0,1364.0,414.0,3.0
43,0,44,0,Plaques,1.0,0.0,623.6667,499.16666,621.0,498.0,627.0,501.0,12.0
44,0,45,0,Plaques,1.0,0.0,618.0,500.0,617.0,499.0,620.0,502.0,9.0
45,0,46,0,Plaques,1.0,0.0,606.6667,504.66666,606.0,504.0,608.0,506.0,3.0
46,0,47,0,Plaques,1.0,0.0,1194.1666,522.1667,1193.0,521.0,1196.0,524.0,6.0
47,0,48,0,Plaques,1.0,0.0,1275.5,778.5,1275.0,778.0,1277.0,780.0,4.0
48,0,49,0,Plaques,1.0,0.0,1007.5,921.5,1007.0,921.0,1009.0,923.0,4.0
49,0,50,0,Plaques,1.0,0.0,938.6667,1009.6667,938.0,1009.0,940.0,1011.0,3.0
50,0,51,0,Plaques,1.0,0.0,814.875,1152.125,814.0,1151.0,817.0,1154.0,8.0
51,0,52,0,Plaques,1.0,0.0,844.0,1223.5,843.0,1223.0,846.0,1225.0,6.0
52,0,53,0,Plaques,1.0,0.0,1490.6666,1317.6666,1490.0,1317.0,1492.0,1319.0,3.0
