object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Size in pixels
0,0,1,0,Plaques,1.0,0.0,737.0,421.5,736.0,420.0,739.0,424.0,10.0
1,0,2,0,Plaques,1.0,0.0,586.4,557.8,586.0,557.0,588.0,560.0,5.0
2,0,3,0,Plaques,1.0,0.0,1484.3334,816.3333,1484.0,816.0,1486.0,818.0,3.0
3,0,4,0,Plaques,1.0,0.0,1957.7377,859.03143,1882.0,827.0,2041.0,893.0,1685.0
4,0,5,0,Plaques,1.0,0.0,1251.25,828.75,1250.0,828.0,1253.0,830.0,4.0
5,0,6,0,Plaques,1.0,0.0,1237.8334,833.75,1236.0,832.0,1241.0,837.0,12.0
6,0,7,0,Plaques,1.0,0.0,892.86664,836.5333,890.0,833.0,897.0,840.0,15.0
7,0,8,0,Plaques,1.0,0.0,1505.3334,846.6667,1505.0,846.0,1507.0,848.0,3.0
8,0,9,0,Plaques,1.0,0.0,918.6667,847.3333,918.0,847.0,920.0,849.0,3.0
9,0,10,0,Plaques,1.0,0.0,907.0357,853.4554,882.0,848.0,928.0,860.0,112.0
10,0,11,0,Plaques,1.0,0.0,1897.1333,864.1556,1892.0,860.0,1902.0,871.0,45.0
11,0,12,0,Plaques,1.0,0.0,862.4,864.08,856.0,862.0,870.0,867.0,25.0
12,0,13,0,Plaques,1.0,0.0,847.37036,868.85187,843.0,866.0,853.0,873.0,27.0
13,0,14,0,Plaques,1.0,0.0,1886.6666,867.93335,1884.0,866.0,1890.0,871.0,15.0
14,0,15,0,Plaques,1.0,0.0,828.63635,870.0909,827.0,869.0,831.0,872.0,11.0
15,0,16,0,Plaques,1.0,0.0,823.3333,872.3333,823.0,872.0,825.0,874.0,3.0
16,0,17,0,Plaques,1.0,0.0,1836.3334,875.6667,1836.0,875.0,1838.0,877.0,3.0
17,0,18,0,Plaques,1.0,0.0,1840.1357,897.65,1834.0,886.0,1847.0,912.0,140.0
18,0,19,0,Plaques,1.0,0.0,300.8751,949.7165,162.0,890.0,430.0,980.0,3058.0
19,0,20,0,Plaques,1.0,0.0,1867.75,894.625,1867.0,893.0,1870.0,897.0,8.0
20,0,21,0,Plaques,1.0,0.0,281.4731,911.2473,274.0,895.0,289.0,929.0,93.0
21,0,22,0,Plaques,1.0,0.0,1273.5,900.5,1273.0,900.0,1275.0,902.0,4.0
22,0,23,0,Plaques,1.0,0.0,1841.5,907.0,1841.0,906.0,1843.0,909.0,4.0
23,0,24,0,Plaques,1.0,0.0,1839.125,911.0,1838.0,909.0,1841.0,914.0,8.0
24,0,25,0,Plaques,1.0,0.0,1831.878,918.0732,1825.0,913.0,1838.0,925.0,41.0
25,0,26,0,Plaques,1.0,0.0,289.5,932.1667,289.0,929.0,291.0,936.0,12.0
26,0,27,0,Plaques,1.0,0.0,1810.6666,934.0,1809.0,930.0,1814.0,938.0,30.0
27,0,28,0,Plaques,1.0,0.0,1816.8334,931.0,1815.0,930.0,1820.0,933.0,12.0
28,0,29,0,Plaques,1.0,0.0,156.375,941.1875,155.0,939.0,159.0,944.0,16.0
29,0,30,0,Plaques,1.0,0.0,320.7143,941.8571,318.0,941.0,324.0,943.0,7.0
30,0,31,0,Plaques,1.0,0.0,1785.0,941.5,1784.0,941.0,1787.0,943.0,4.0
31,0,32,0,Plaques,1.0,0.0,306.58334,942.5833,304.0,942.0,311.0,944.0,12.0
32,0,33,0,Plaques,1.0,0.0,413.5263,947.2632,409.0,944.0,418.0,951.0,19.0
33,0,34,0,Plaques,1.0,0.0,1780.5,944.5,1780.0,944.0,1782.0,946.0,4.0
34,0,35,0,Plaques,1.0,0.0,155.32098,953.0864,149.0,946.0,163.0,960.0,81.0
35,0,36,0,Plaques,1.0,0.0,373.67856,948.25,368.0,947.0,379.0,951.0,28.0
36,0,37,0,Plaques,1.0,0.0,1801.1666,948.25,1799.0,947.0,1804.0,951.0,12.0
37,0,38,0,Plaques,1.0,0.0,318.6154,951.3077,316.0,950.0,322.0,954.0,13.0
38,0,39,0,Plaques,1.0,0.0,1792.8125,951.375,1791.0,950.0,1796.0,954.0,16.0
39,0,40,0,Plaques,1.0,0.0,1769.3334,953.55554,1768.0,952.0,1772.0,956.0,9.0
40,0,41,0,Plaques,1.0,0.0,173.0,955.25,172.0,955.0,175.0,957.0,4.0
41,0,42,0,Plaques,1.0,0.0,1719.6666,958.6667,1719.0,958.0,1721.0,960.0,3.0
42,0,43,0,Plaques,1.0,0.0,1934.9398,981.4458,1931.0,974.0,1939.0,990.0,83.0
43,0,44,0,Plaques,1.0,0.0,442.0,981.0,441.0,981.0,444.0,982.0,3.0
