object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1
0,0,1,0,Plaques,1.0,0.0,668.5,231.5,4.0,668.0,231.0,670.0,233.0
1,0,2,0,Plaques,1.0,0.0,459.33334,358.66666,3.0,459.0,358.0,461.0,360.0
2,0,3,0,Plaques,1.0,0.0,369.83334,375.16666,6.0,369.0,374.0,372.0,377.0
3,0,4,0,Plaques,1.0,0.0,420.33334,392.66666,3.0,420.0,392.0,422.0,394.0
4,0,5,0,Plaques,1.0,0.0,400.66666,396.66666,3.0,400.0,396.0,402.0,398.0
5,0,6,0,Plaques,1.0,0.0,388.0,401.2857,7.0,387.0,400.0,390.0,403.0
6,0,7,0,Plaques,1.0,0.0,297.66666,402.66666,3.0,297.0,402.0,299.0,404.0
7,0,8,0,Plaques,1.0,0.0,422.75,404.0,4.0,422.0,403.0,424.0,406.0
8,0,9,0,Plaques,1.0,0.0,408.5,405.5,4.0,408.0,405.0,410.0,407.0
9,0,10,0,Plaques,1.0,0.0,420.5,411.5,4.0,420.0,411.0,422.0,413.0
10,0,11,0,Plaques,1.0,0.0,431.0,416.5,6.0,430.0,416.0,433.0,418.0
11,0,12,0,Plaques,1.0,0.0,1117.1428,461.42856,14.0,1116.0,459.0,1120.0,464.0
12,0,13,0,Plaques,1.0,0.0,1105.6154,461.3846,13.0,1104.0,460.0,1108.0,464.0
13,0,14,0,Plaques,1.0,0.0,1115.5,469.5,4.0,1115.0,469.0,1117.0,471.0
14,0,15,0,Plaques,1.0,0.0,1104.0,471.0,5.0,1103.0,470.0,1106.0,473.0
15,0,16,0,Plaques,1.0,0.0,458.875,736.78125,32.0,456.0,734.0,463.0,740.0
16,0,17,0,Plaques,1.0,0.0,122.26667,739.93335,15.0,121.0,738.0,125.0,743.0
17,0,18,0,Plaques,1.0,0.0,923.125,933.875,8.0,922.0,933.0,925.0,936.0
