object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1
0,0,1,0,Plaques,1.0,0.0,446.53845,139.38461,13.0,445.0,138.0,449.0,142.0
1,0,2,0,Plaques,1.0,0.0,488.89734,259.57285,604.0,457.0,229.0,529.0,285.0
2,0,3,0,Plaques,1.0,0.0,474.5,233.5,4.0,474.0,233.0,476.0,235.0
3,0,4,0,Plaques,1.0,0.0,453.33334,234.88889,9.0,452.0,234.0,456.0,237.0
4,0,5,0,Plaques,1.0,0.0,425.0,239.83333,6.0,424.0,239.0,427.0,242.0
5,0,6,0,Plaques,1.0,0.0,476.85715,241.28572,14.0,475.0,239.0,479.0,244.0
6,0,7,0,Plaques,1.0,0.0,449.5,240.5,4.0,449.0,240.0,451.0,242.0
7,0,8,0,Plaques,1.0,0.0,457.2,240.2,5.0,456.0,240.0,460.0,242.0
8,0,9,0,Plaques,1.0,0.0,491.0,246.4,40.0,488.0,241.0,495.0,251.0
9,0,10,0,Plaques,1.0,0.0,451.0,244.28572,7.0,450.0,243.0,453.0,246.0
10,0,11,0,Plaques,1.0,0.0,478.8,246.0,10.0,477.0,245.0,481.0,248.0
11,0,12,0,Plaques,1.0,0.0,508.0,254.72728,22.0,506.0,252.0,511.0,258.0
12,0,13,0,Plaques,1.0,0.0,306.35715,260.7857,14.0,305.0,259.0,309.0,264.0
13,0,14,0,Plaques,1.0,0.0,326.33334,259.33334,3.0,326.0,259.0,328.0,261.0
14,0,15,0,Plaques,1.0,0.0,513.8571,261.07144,14.0,512.0,259.0,516.0,264.0
15,0,16,0,Plaques,1.0,0.0,298.1111,261.33334,9.0,297.0,260.0,300.0,264.0
16,0,17,0,Plaques,1.0,0.0,292.2857,262.42856,7.0,291.0,262.0,295.0,264.0
17,0,18,0,Plaques,1.0,0.0,522.6667,262.33334,3.0,522.0,262.0,524.0,264.0
18,0,19,0,Plaques,1.0,0.0,527.3333,263.66666,3.0,527.0,263.0,529.0,265.0
19,0,20,0,Plaques,1.0,0.0,547.86664,265.53333,15.0,546.0,264.0,551.0,268.0
20,0,21,0,Plaques,1.0,0.0,533.125,268.5,16.0,530.0,267.0,537.0,271.0
21,0,22,0,Plaques,1.0,0.0,552.1042,276.15277,144.0,539.0,268.0,571.0,284.0
22,0,23,0,Plaques,1.0,0.0,572.1579,275.8421,19.0,570.0,274.0,575.0,279.0
23,0,24,0,Plaques,1.0,0.0,480.43478,282.02173,46.0,477.0,275.0,484.0,288.0
24,0,25,0,Plaques,1.0,0.0,501.66666,275.66666,3.0,501.0,275.0,503.0,277.0
25,0,26,0,Plaques,1.0,0.0,536.5,275.5,4.0,536.0,275.0,538.0,277.0
26,0,27,0,Plaques,1.0,0.0,370.0282,337.64502,2093.0,270.0,276.0,478.0,377.0
27,0,28,0,Plaques,1.0,0.0,577.63293,286.3038,79.0,573.0,280.0,585.0,293.0
28,0,29,0,Plaques,1.0,0.0,538.8889,285.66666,9.0,538.0,284.0,541.0,288.0
29,0,30,0,Plaques,1.0,0.0,519.75,289.94446,36.0,517.0,287.0,524.0,294.0
30,0,31,0,Plaques,1.0,0.0,565.3333,288.33334,3.0,565.0,288.0,567.0,290.0
31,0,32,0,Plaques,1.0,0.0,463.6111,293.1389,36.0,460.0,289.0,469.0,298.0
32,0,33,0,Plaques,1.0,0.0,475.33334,292.1111,9.0,474.0,291.0,478.0,294.0
33,0,34,0,Plaques,1.0,0.0,588.7143,292.5,14.0,587.0,291.0,591.0,295.0
34,0,35,0,Plaques,1.0,0.0,500.83334,293.16666,6.0,500.0,292.0,503.0,295.0
