object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Size in pixels
0,0,1,0,Plaques,1.0,0.0,1203.5,626.0,1203.0,625.0,1205.0,628.0,6.0
1,0,2,0,Plaques,1.0,0.0,1409.3334,697.6667,1409.0,697.0,1411.0,699.0,3.0
2,0,3,0,Plaques,1.0,0.0,2527.5,701.5,2527.0,701.0,2529.0,703.0,4.0
3,0,4,0,Plaques,1.0,0.0,1052.5,808.5,1052.0,808.0,1054.0,810.0,4.0
4,0,5,0,Plaques,1.0,0.0,142.66667,824.6667,142.0,824.0,144.0,826.0,3.0
5,0,6,0,Plaques,1.0,0.0,1831.0,1137.2858,1830.0,1136.0,1833.0,1139.0,7.0
6,0,7,0,Plaques,1.0,0.0,1827.3334,1147.3334,1827.0,1147.0,1829.0,1149.0,3.0
7,0,8,0,Plaques,1.0,0.0,1812.25,1196.75,1812.0,1196.0,1814.0,1199.0,4.0
8,0,9,0,Plaques,1.0,0.0,1810.5,1201.0,1810.0,1200.0,1812.0,1203.0,4.0
9,0,10,0,Plaques,1.0,0.0,1806.0,1208.0,1805.0,1207.0,1808.0,1210.0,7.0
10,0,11,0,Plaques,1.0,0.0,1794.2,1223.6,1793.0,1223.0,1796.0,1225.0,5.0
11,0,12,0,Plaques,1.0,0.0,1822.3334,1247.2222,1820.0,1245.0,1825.0,1251.0,18.0
12,0,13,0,Plaques,1.0,0.0,1825.091,1251.3636,1824.0,1250.0,1827.0,1254.0,11.0
13,0,14,0,Plaques,1.0,0.0,1815.1163,1269.0465,1813.0,1260.0,1819.0,1277.0,43.0
14,0,15,0,Plaques,1.0,0.0,1828.4,1262.2,1828.0,1261.0,1830.0,1264.0,5.0
15,0,16,0,Plaques,1.0,0.0,1786.909,1345.6364,1786.0,1344.0,1789.0,1348.0,11.0
16,0,17,0,Plaques,1.0,0.0,2523.6,2056.8,2523.0,2056.0,2525.0,2059.0,5.0
17,0,18,0,Plaques,1.0,0.0,2536.4285,2057.2856,2536.0,2056.0,2538.0,2060.0,7.0
18,0,19,0,Plaques,1.0,0.0,2506.7144,2058.0,2506.0,2057.0,2509.0,2060.0,7.0
19,0,20,0,Plaques,1.0,0.0,2552.7144,2058.0,2552.0,2057.0,2555.0,2060.0,7.0
20,0,21,0,Plaques,1.0,0.0,1624.5,2115.0,1623.0,2115.0,1627.0,2116.0,4.0
