filename,tissue_area_px,tissue_area_um2,tissue_area_mm2
GtDeer_treatment_cerebellum_4x_57.tif,11884500,297112500,297.1125
GtDeer_treatment_cerebellum_4x_58.tif,30461975,761549375,761.5494
GtDeer_treatment_cerebellum_4x_59.tif,29967875,749196875,749.1969
GtDeer_treatment_cerebellum_4x_60.tif,71097400,1777435000,1777.435
GtDeer_treatment_cerebellum_4x_61.tif,40798350,1019958750,1019.9588
GtDeer_treatment_cerebellum_4x_62.tif,29605275,740131875,740.1319
GtDeer_treatment_cerebellum_4x_63.tif,41466350,1036658750,1036.6588
GtDeer_treatment_cerebellum_4x_64.tif,27141250,678531250,678.5312
GtDeer_treatment_cerebellum_4x_65.tif,23780300,594507500,594.5075
GtDeer_treatment_cerebellum_4x_66.tif,58335225,1458380625,1458.3806
GtDeer_treatment_cerebellum_4x_67.tif,32526175,813154375,813.1544
GtDeer_treatment_cerebellum_4x_68.tif,49084000,1227100000,1227.1
GtDeer_treatment_cerebellum_4x_69.tif,26898775,672469375,672.4694
GtDeer_treatment_cerebellum_4x_70.tif,15783000,394575000,394.575
GtDeer_treatment_cerebellum_4x_71.tif,58670000,1466750000,1466.75
GtDeer_treatment_cerebellum_4x_72.tif,55671675,1391791875,1391.7919
GtDeer_treatment_cerebellum_4x_73.tif,40450725,1011268125,1011.2681
GtDeer_treatment_cerebellum_4x_74.tif,33115950,827898750,827.8987
GtDeer_treatment_cerebellum_4x_75.tif,41721900,1043047500,1043.0475
GtDeer_treatment_cerebellum_4x_76.tif,60673875,1516846875,1516.8469
GtDeer_treatment_cerebellum_4x_77.tif,53682075,1342051875,1342.0519
GtDeer_treatment_cerebellum_4x_78.tif,38458800,961470000,961.47
GtDeer_treatment_cerebellum_4x_79.tif,23598850,589971250,589.9713
GtDeer_treatment_cerebellum_4x_80.tif,41376850,1034421250,1034.4213
GtDeer_treatment_cerebellum_4x_81.tif,58893675,1472341875,1472.3419
GtDeer_treatment_cerebellum_4x_82.tif,42038025,1050950625,1050.9506
GtDeer_treatment_cerebellum_4x_83.tif,60246125,1506153125,1506.1531
GtDeer_treatment_cerebellum_4x_84.tif,80227225,2005680625,2005.6806
GtDeer_treatment_cerebellum_4x_85.tif,28502550,712563750,712.5638
GtDeer_treatment_cerebellum_4x_86.tif,38594625,964865625,964.8656
GtDeer_treatment_cerebellum_4x_87.tif,36539775,913494375,913.4944
GtDeer_treatment_cerebellum_4x_88.tif,32285750,807143750,807.1437
GtDeer_treatment_cerebellum_4x_89.tif,23248875,581221875,581.2219
GtDeer_treatment_cerebellum_4x_90.tif,67453775,1686344375,1686.3444
GtDeer_treatment_cerebellum_4x_91.tif,67839150,1695978750,1695.9787
GtDeer_treatment_cerebellum_4x_92.tif,34948775,873719375,873.7194
GtDeer_treatment_cerebellum_4x_93.tif,33257825,831445625,831.4456
GtDeer_treatment_cerebellum_4x_94.tif,41163550,1029088750,1029.0887
GtDeer_treatment_cerebellum_4x_95.tif,44640800,1116020000,1116.02
GtDeer_treatment_cerebellum_4x_96.tif,34801700,870042500,870.0425
GtDeer_treatment_cerebellum_4x_97.tif,34749900,868747500,868.7475
GtDeer_treatment_cerebellum_4x_98.tif,30642500,766062500,766.0625
GtDeer_treatment_cerebellum_4x_99.tif,35572375,889309375,889.3094
